k_yomiyasusa,k_seizensa,k_chikarazuyosa,k_akarusa,k_dokujisei,k_jidaisei,k_atatakasa,g_yomiyasusa,g_seizensa,g_chikarazuyosa,g_akarusa,g_dokujisei,g_jidaisei,g_atatakasa,s_yomiyasusa,s_seizensa,s_chikarazuyosa,s_akarusa,s_dokujisei,s_jidaisei,s_atatakasa,suki
100,80,35,73,29,76,71,25,72,79,25,91,7,15,14,85,96,77,95,8,17,gyosho
81,79,42,54,25,60,44,54,61,64,56,60,35,59,30,44,65,52,80,26,46,gyosho
92,57,66,54,9,58,59,36,44,47,32,60,22,64,0,43,50,9,72,0,54,kaisho
93,93,21,33,13,80,17,80,80,22,20,24,81,27,68,76,86,68,77,9,79,sousho
100,100,72,36,64,57,37,29,85,67,40,81,52,34,0,72,27,31,84,39,38,kaisho
86,69,28,79,26,66,87,21,12,16,25,75,24,39,4,24,21,37,92,2,12,gyosho
29,12,45,57,34,60,52,0,68,0,0,100,0,46,0,0,0,100,100,0,51,kaisho
0,100,100,100,100,0,0,0,0,0,100,100,0,0,0,0,0,0,99,1,1,kaisho
74,73,64,57,3,67,58,42,57,35,55,66,38,45,9,41,32,61,84,17,32,sousho
97,83,24,65,52,30,33,46,54,12,63,58,22,74,13,74,25,78,83,23,63,kaisho
64,89,73,59,40,71,85,0,91,8,28,71,22,60,0,98,0,33,78,20,25,gyosho
43,58,61,72,21,76,75,28,62,13,65,67,25,64,0,47,0,32,100,87,60,gyosho
80,66,37,70,53,30,67,57,69,58,42,70,23,65,62,68,40,43,68,35,0,gyosho
10,98,47,70,58,26,47,15,77,28,49,78,17,74,6,54,66,24,95,1,55,kaisho
56,72,98,62,52,55,63,29,35,0,50,100,23,100,0,0,0,73,100,0,100,sousho
65,19,91,71,80,25,51,29,74,55,63,67,13,53,0,83,28,69,79,0,54,sousho
100,100,39,57,0,72,33,36,39,72,71,64,21,74,0,23,100,100,100,0,80,gyosho
63,72,82,74,69,85,84,22,21,80,69,82,11,82,0,0,100,72,100,0,100,gyosho
91,87,60,77,28,83,59,60,90,76,59,74,15,77,12,43,85,68,85,7,70,gyosho
100,100,61,59,64,96,61,40,44,53,42,78,27,71,2,0,79,23,100,0,31,kaisho
100,78,0,77,0,68,99,72,94,100,83,0,9,39,27,78,10,48,68,0,37,gyosho
37,39,64,36,65,18,29,0,19,76,33,78,8,25,0,57,84,65,77,5,65,sousho
55,100,53,100,60,29,100,28,89,19,37,22,0,35,0,31,100,100,80,12,100,kaisho
81,49,66,37,17,40,76,74,66,46,64,60,40,67,19,75,63,74,85,85,90,gyosho
58,57,57,57,58,36,63,45,55,57,57,62,41,56,35,43,72,55,73,16,54,sousho
71,77,42,44,39,75,100,20,57,89,40,67,22,41,0,63,66,69,77,64,21,kaisho
68,39,100,74,74,0,24,19,80,0,73,100,0,86,0,28,0,97,19,4,100,sousho
42,47,66,57,43,48,46,46,88,2,46,75,0,62,19,77,33,42,60,0,59,gyosho
62,56,71,44,40,13,74,34,59,63,32,80,26,73,0,32,31,31,100,0,74,kaisho
100,100,63,100,59,76,100,89,100,30,93,84,85,100,74,100,67,100,100,51,100,kaisho
100,100,100,100,98,100,100,95,95,100,94,96,97,95,22,69,80,79,99,5,13,gyosho
100,21,65,35,87,24,64,16,78,93,80,100,0,100,0,71,100,82,100,2,59,gyosho
